DATE,VALUE
2008-12-22,-1.83020
2008-12-23,-0.97174
2008-12-24,0.57811
2008-12-25,.
2008-12-26,.
2008-12-29,-0.38726
2008-12-30,2.44071
2008-12-31,1.41584
2009-01-01,.
2009-01-02,.
2009-01-05,-0.46684
2009-01-06,0.78171
2009-01-07,-3.00096
2009-01-08,0.33971
2009-01-09,-2.13030
2009-01-12,-2.25642
2009-01-13,0.17581
2009-01-14,-3.34599
2009-01-15,0.13292
2009-01-16,0.75616
2009-01-19,.
2009-01-20,.
2009-01-21,4.34912
2009-01-22,-1.51623
2009-01-23,0.53776
2009-01-26,0.55532
2009-01-27,1.09256
2009-01-28,3.35576
2009-01-29,-3.31202
2009-01-30,-2.27891
2009-02-02,-0.05328
2009-02-03,1.58340
2009-02-04,-0.74895
2009-02-05,1.63657
2009-02-06,2.68960
2009-02-09,0.14851
2009-02-10,-4.91212
2009-02-11,0.79549
2009-02-12,0.17392
2009-02-13,-0.99977
2009-02-16,.
2009-02-17,.
2009-02-18,-0.09504
2009-02-19,-1.20240
2009-02-20,-1.14129
2009-02-23,-3.46990
2009-02-24,4.01033
2009-02-25,-1.06578
2009-02-26,-1.57798
2009-02-27,-2.35644
2009-03-02,-4.66201
2009-03-03,-0.64068
2009-03-04,2.37531
2009-03-05,-4.25323
2009-03-06,0.12160
2009-03-09,-1.00237
2009-03-10,6.36631
2009-03-11,0.24458
2009-03-12,4.07286
2009-03-13,0.77390
2009-03-16,-0.35160
2009-03-17,3.21400
2009-03-18,2.08580
2009-03-19,-1.29792
2009-03-20,-1.97694
2009-03-23,7.07575
2009-03-24,-2.04151
2009-03-25,0.96264
2009-03-26,2.33204
2009-03-27,-2.03155
2009-03-30,-3.48187
2009-03-31,1.31297
2009-04-01,1.65566
2009-04-02,2.87271
2009-04-03,0.97318
2009-04-06,-0.83323
2009-04-07,-2.38546
2009-04-08,1.17835
2009-04-09,3.80532
2009-04-10,.
2009-04-13,.
2009-04-14,-2.00645
2009-04-15,1.25490
2009-04-16,1.55388
2009-04-17,0.49694
2009-04-20,-4.27898
2009-04-21,2.12521
2009-04-22,-0.76816
2009-04-23,0.99224
2009-04-24,1.67974
2009-04-27,-1.00666
2009-04-28,-0.27405
2009-04-29,2.16100
2009-04-30,-0.09500
2009-05-01,0.53964
2009-05-04,3.38682
2009-05-05,-0.37917
2009-05-06,1.74043
2009-05-07,-1.32024
2009-05-08,2.40690
2009-05-11,-2.15124
2009-05-12,-0.09788
2009-05-13,-2.68949
2009-05-14,1.03516
2009-05-15,-1.14101
2009-05-18,3.03892
2009-05-19,-0.17368
2009-05-20,-0.51314
2009-05-21,-1.67576
2009-05-22,-0.14972
2009-05-25,.
2009-05-26,.
2009-05-27,-1.89711
2009-05-28,1.54189
2009-05-29,1.35748
2009-06-01,2.58176
2009-06-02,0.19833
2009-06-03,-1.37392
2009-06-04,1.14836
2009-06-05,-0.25147
2009-06-08,-0.10105
2009-06-09,0.35032
2009-06-10,-0.34804
2009-06-11,0.61119
2009-06-12,0.13970
2009-06-15,-2.37685
2009-06-16,-1.27203
2009-06-17,-0.13816
2009-06-18,0.84110
2009-06-19,0.31142
2009-06-22,-3.06004
2009-06-23,0.23067
2009-06-24,0.65244
2009-06-25,2.14443
2009-06-26,-0.14778
2009-06-29,0.90652
2009-06-30,-0.85308
2009-07-01,0.43619
2009-07-02,-2.91445
2009-07-03,.
2009-07-06,.
2009-07-07,-1.96835
2009-07-08,-0.16685
2009-07-09,0.35472
2009-07-10,-0.40218
2009-07-13,2.49337
2009-07-14,0.53160
2009-07-15,2.96300
2009-07-16,0.86418
2009-07-17,-0.03827
2009-07-20,1.14315
2009-07-21,0.36273
2009-07-22,-0.05343
2009-07-23,2.32897
2009-07-24,0.30421
2009-07-27,0.29818
